0,1
Samsung Mobiles List,Price in Nepal
Galaxy Z Fold 7,"Rs. 244,999 (12/256GB)"
Galaxy Z Fold 6,"Rs. 164,999 (12+256GB)"
"Rs. 179,999 (12+512GB)",
Galaxy Z Flip 7,"Rs. 154,999 (12/256GB)"
Galaxy Z Flip 6,"Rs. 99,999 (12/256GB)"
Galaxy S25 Ultra,"Rs. 199,999 (12/512GB)"
"Rs. 184,999 (12/256GB)",
Galaxy S24 Ultra,"Rs. 159,999 (12+256GB)"
Galaxy S25 Plus,"Rs.Â  141,999 (12/256GB)"
Galaxy S25,"Rs. 104,999 (12/128GB)"
"Rs. 114,999 (12/256GB)",
Galaxy S25 FE 5G,"Rs. 99,999 (8+256GB)"
Galaxy S24 FE 5G,"Rs. 94,999 (8+256GB)"
Galaxy A56 5G,"Rs. 65,999 (8+256GB)"
"Rs. 70,999 (12+256GB)",
Galaxy M36 5G,"Rs. 36,999 (8+128GB)"
"Rs. 41,999 (8+256GB)",
Galaxy A36 5G,"Rs. 48,999 (8+128GB)"
"Rs. 54,999 (8+256GB)",
"Rs. 59,999 (12+256GB)",
Galaxy A26 5G,"Rs. 45,999 (8+256GB)"
Galaxy A16 5G,"Rs. 28,999 (6+128GB)"
"Rs. 30,999 (8+128GB)",
"Rs. 34,999 (8+256GB)",
Galaxy A17 5G,"Rs. 28,999 (6+128GB)"
"Rs. 30,999 (8+128GB)",
"Rs. 34,999 (8+256GB)",
Galaxy M17 5G,"Rs. 24,499 (4+128GB) Rs. 27,999 (6+128GB)"
Galaxy M16 5G,"Rs. 26,999 (6+128GB)"
Galaxy A07,"Rs. 15,999 (4+64GB)"
"Rs. 17,999 (4+128GB)",
"Rs. 19,999 (6+128GB)",
Galaxy A06,"Rs. 15,499 (4+64GB)"
"Rs. 17,499 (4+128GB)",
"Rs. 19,499 (6+128GB)",
